values,sample size,mean,unbiased stdev,stdev 95% CI,CV*,survey_origin,measure
"[146.25, 99.16]",2,122.705,41.73242591957037,"[-196.97, 280.43]",38.26166754371595,Lab 1,Coherence
"[47.08, 125.52]",2,86.3,69.51564003251433,"[-328.10, 467.13]",90.62004059858472,Lab 1,Coherence
"[91.67, 85.36]",2,88.515,5.5920918996069044,"[-26.39, 37.58]",7.10738675598234,Lab 1,Coherence
"[104.58, 89.53999999999999]",2,97.06,13.328852958809485,"[-62.91, 89.57]",15.449165030559108,Lab 1,Coherence
"[110.42, 100.42]",2,105.42,8.862269254527579,"[-41.83, 59.55]",9.457458652384297,Lab 1,Coherence
"[146.25, 112.5]",2,129.375,29.910158734030578,"[-141.17, 200.99]",26.008833681765722,Lab 2,Coherence
"[47.08, 80.0]",2,63.54,29.17459038590479,"[-137.70, 196.05]",51.654728020369674,Lab 2,Coherence
"[91.67, 92.5]",2,92.08500000000001,0.7355683481257874,"[-3.47, 4.94]",0.8986418978568831,Lab 2,Coherence
"[104.58, 109.17]",2,106.875,4.067781587828161,"[-19.20, 27.33]",4.281875355608591,Lab 2,Coherence
"[110.42, 105.83]",2,108.125,4.067781587828161,"[-19.20, 27.33]",4.232373906410803,Lab 2,Coherence
"[146.25, 105.86]",2,126.055,35.79470551903689,"[-168.94, 240.53]",31.945613985098966,Lab 1 and 2,Coherence
"[47.08, 102.71]",2,74.895,49.30080386293692,"[-232.69, 331.29]",74.05488263008749,Lab 1 and 2,Coherence
"[91.67, 88.94]",2,90.305,2.4193995064860325,"[-11.42, 16.26]",3.014035152867268,Lab 1 and 2,Coherence
"[104.58, 99.37]",2,101.975,4.6172422816088625,"[-21.79, 31.03]",5.093795113321864,Lab 1 and 2,Coherence
"[110.42, 103.14]",2,106.78,6.451732017296078,"[-30.45, 43.35]",6.797338939368878,Lab 1 and 2,Coherence
"[138.32999999999998, 109.24]",2,123.785,25.780341261420716,"[-121.68, 173.24]",23.43004719400437,Lab 1,Grammar
"[38.33, 117.15]",2,77.74000000000001,69.85240626418638,"[-329.69, 469.39]",101.0856149308074,Lab 1,Grammar
"[105.0, 80.33]",2,92.66499999999999,21.863218250919537,"[-103.19, 146.92]",26.543053507024748,Lab 1,Grammar
"[113.33, 90.38]",2,101.85499999999999,20.338907939140796,"[-96.00, 136.67]",22.464553955655983,Lab 1,Grammar
"[105.0, 102.95]",2,103.975,1.816765197178151,"[-8.57, 12.21]",1.9657233439051889,Lab 1,Grammar
"[138.32999999999998, 114.17]",2,126.25,21.411242518938614,"[-101.06, 143.88]",19.079325016875995,Lab 2,Grammar
"[38.33, 76.67]",2,57.5,33.97794032185874,"[-160.37, 228.33]",66.47857889059318,Lab 2,Grammar
"[105.0, 91.67]",2,98.33500000000001,11.81340491628526,"[-55.76, 79.38]",13.515107063426974,Lab 2,Grammar
"[113.33, 109.17]",2,111.25,3.6867040098834694,"[-17.40, 24.77]",3.7281276504439576,Lab 2,Grammar
"[105.0, 108.33]",2,106.66499999999999,2.9511356617576823,"[-13.93, 19.83]",3.1125745272370438,Lab 2,Grammar
"[138.32999999999998, 111.72]",2,125.02499999999999,23.582498486297872,"[-111.30, 158.47]",21.22000463674074,Lab 1 and 2,Grammar
"[38.33, 96.87]",2,67.6,51.87972421600445,"[-244.86, 348.62]",86.33829843639793,Lab 1 and 2,Grammar
"[105.0, 86.01]",2,95.505,16.829449314347865,"[-79.43, 113.09]",19.824229599121878,Lab 1 and 2,Grammar
"[113.33, 99.79]",2,106.56,11.999512570630335,"[-56.64, 80.63]",12.668404318655337,Lab 1 and 2,Grammar
"[105.0, 105.66]",2,105.33,0.5849097707988171,"[-2.76, 3.93]",0.6247256167745838,Lab 1 and 2,Grammar
"[130.82999999999998, 97.46]",2,114.14499999999998,29.57339250235852,"[-139.58, 198.73]",29.147195729250814,Lab 1,Repetition
"[63.33, 144.68]",2,104.005,72.09456038558186,"[-340.27, 484.46]",77.98315507310186,Lab 1,Repetition
"[95.42, 74.03999999999999]",2,84.72999999999999,18.94753166617997,"[-89.43, 127.32]",25.157527586985093,Lab 1,Repetition
"[103.75, 85.23]",2,94.49000000000001,16.41292265938507,"[-77.47, 110.29]",19.54126150048492,Lab 1,Repetition
"[106.67, 98.7]",2,102.685,7.063228595858479,"[-33.34, 47.46]",7.738357277441485,Lab 1,Repetition
"[130.82999999999998, 105.83]",2,118.32999999999998,22.155673136318935,"[-104.57, 148.88]",21.064085420737605,Lab 2,Repetition
"[63.33, 94.17]",2,78.75,27.331238380963054,"[-129.00, 183.66]",39.04462625851865,Lab 2,Repetition
"[95.42, 95.0]",2,95.21000000000001,0.37221530869015984,"[-1.76, 2.50]",0.4398090770679863,Lab 2,Repetition
"[103.75, 100.83]",2,102.28999999999999,2.5877826223220546,"[-12.21, 17.39]",2.8460802132293592,Lab 2,Repetition
"[106.67, 104.17]",2,105.42,2.2155673136318947,"[-10.46, 14.89]",2.364364663096074,Lab 2,Repetition
"[130.82999999999998, 101.68]",2,116.255,25.833514876947874,"[-121.93, 173.60]",24.999100457241717,Lab 1 and 2,Repetition
"[63.33, 119.16]",2,91.245,49.47804924802747,"[-233.53, 332.48]",61.003677356601344,Lab 1 and 2,Repetition
"[95.42, 84.63]",2,90.025,9.562388525635262,"[-45.13, 64.26]",11.949666305292608,Lab 1 and 2,Repetition
"[103.75, 93.08]",2,98.41499999999999,9.456041294580928,"[-44.63, 63.54]",10.80937505096128,Lab 1 and 2,Repetition
"[106.67, 101.49]",2,104.08,4.590655473845292,"[-21.67, 30.85]",4.962036325976127,Lab 1 and 2,Repetition
